iter	Passed	Remaining
400	23381	34925
401	23435	34862
402	23496	34806
403	23561	34759
404	23620	34701
405	23678	34642
406	23737	34585
407	23797	34530
408	23859	34476
409	23916	34416
410	23967	34346
411	24020	34282
412	24077	34222
413	24136	34163
414	24193	34104
415	24247	34040
416	24301	33975
417	24354	33910
418	24408	33845
419	24466	33787
420	24525	33730
421	24580	33666
422	24632	33600
423	24684	33533
424	24741	33473
425	24800	33416
426	24855	33353
427	24907	33287
428	24964	33227
429	25025	33172
430	25080	33110
431	25132	33045
432	25190	32986
433	25248	32928
434	25311	32875
435	25370	32818
436	25432	32765
437	25491	32708
438	25550	32651
439	25609	32593
440	25668	32536
441	25727	32479
442	25787	32423
443	25844	32364
444	25905	32308
445	25961	32248
446	26015	32184
447	26070	32122
448	26136	32074
449	26191	32012
450	26248	31952
451	26306	31894
452	26367	31838
453	26424	31779
454	26476	31713
455	26533	31653
456	26594	31599
457	26658	31548
458	26713	31486
459	26772	31428
460	26831	31371
461	26888	31311
462	26944	31250
463	26997	31186
464	27054	31126
465	27116	31073
466	27170	31010
467	27225	30948
468	27285	30892
469	27338	30828
470	27396	30769
471	27451	30708
472	27507	30648
473	27562	30585
474	27622	30530
475	27675	30466
476	27735	30409
477	27795	30354
478	27853	30295
479	27905	30230
480	27964	30173
481	28022	30115
482	28079	30056
483	28135	29995
484	28195	29939
485	28251	29879
486	28308	29819
487	28363	29758
488	28428	29707
489	28483	29645
490	28543	29590
491	28594	29524
492	28652	29466
493	28711	29408
494	28772	29353
495	28828	29293
496	28888	29236
497	28941	29173
498	28999	29115
499	29054	29054
500	29116	29000
501	29175	28942
502	29233	28885
503	29290	28825
504	29351	28770
505	29407	28709
506	29461	28648
507	29514	28585
508	29578	28532
509	29633	28471
510	29687	28409
511	29748	28354
512	29819	28307
513	29879	28252
514	29930	28187
515	29986	28126
516	30043	28067
517	30102	28010
518	30155	27947
519	30214	27890
520	30271	27831
521	30325	27769
522	30383	27711
523	30438	27650
524	30501	27596
525	30556	27535
526	30614	27477
527	30667	27415
528	30727	27358
529	30785	27300
530	30842	27241
531	30899	27182
532	30954	27121
533	31007	27059
534	31065	27000
535	31124	26943
536	31182	26885
537	31236	26823
538	31289	26761
539	31341	26697
540	31396	26637
541	31455	26580
542	31512	26521
543	31568	26461
544	31625	26402
545	31682	26343
546	31734	26280
547	31789	26220
548	31852	26167
549	31908	26107
550	31963	26046
551	32016	25984
552	32077	25928
553	32136	25871
554	32194	25813
555	32249	25752
556	32309	25697
557	32362	25635
558	32415	25572
559	32470	25512
560	32527	25453
561	32584	25395
562	32639	25334
563	32696	25276
564	32757	25220
565	32815	25162
566	32868	25100
567	32927	25043
568	32986	24986
569	33039	24924
570	33093	24863
571	33155	24808
572	33215	24752
573	33271	24692
574	33327	24633
575	33380	24571
576	33437	24513
577	33493	24453
578	33551	24395
579	33609	24338
580	33670	24282
581	33729	24224
582	33792	24170
583	33855	24116
584	33917	24060
585	33976	24003
586	34039	23949
587	34103	23895
588	34169	23843
589	34229	23786
590	34287	23728
591	34344	23669
592	34403	23612
593	34462	23554
594	34521	23497
595	34578	23439
596	34641	23384
597	34703	23329
598	34763	23272
599	34824	23216
600	34883	23158
601	34943	23101
602	35004	23046
603	35061	22987
604	35120	22930
605	35181	22873
606	35242	22817
607	35303	22761
608	35368	22707
609	35427	22650
610	35487	22593
611	35548	22537
612	35610	22481
613	35669	22423
614	35727	22366
615	35790	22311
616	35864	22262
617	35926	22207
618	35991	22153
619	36046	22093
620	36107	22036
621	36163	21977
622	36220	21918
623	36277	21859
624	36338	21803
625	36405	21749
626	36468	21694
627	36531	21639
628	36595	21584
629	36654	21527
630	36712	21469
631	36778	21415
632	36837	21357
633	36897	21300
634	36956	21242
635	37018	21186
636	37084	21132
637	37146	21076
638	37206	21019
639	37262	20960
640	37327	20905
641	37380	20844
642	37438	20786
643	37491	20725
644	37551	20667
645	37611	20610
646	37672	20553
647	37728	20494
648	37793	20439
649	37849	20380
650	37899	20318
651	37951	20256
652	38002	20194
653	38060	20135
654	38113	20075
655	38172	20017
656	38226	19957
657	38287	19900
658	38348	19843
659	38403	19783
660	38461	19725
661	38520	19667
662	38583	19612
663	38639	19552
664	38692	19491
665	38751	19433
666	38804	19373
667	38862	19314
668	38917	19255
669	38982	19200
670	39037	19140
671	39090	19079
672	39148	19021
673	39211	18965
674	39269	18907
675	39326	18848
676	39384	18790
677	39439	18730
678	39498	18673
679	39552	18613
680	39610	18554
681	39668	18496
682	39724	18437
683	39781	18378
684	39833	18317
685	39890	18259
686	39949	18201
687	40004	18141
688	40061	18082
689	40117	18023
690	40175	17965
691	40231	17906
692	40284	17846
693	40344	17788
694	40396	17728
695	40448	17667
696	40505	17608
697	40564	17550
698	40621	17492
699	40674	17431
700	40737	17375
701	40798	17318
702	40858	17261
703	40918	17204
704	40977	17146
705	41035	17088
706	41093	17030
707	41153	16973
708	41211	16914
709	41270	16857
710	41325	16797
711	41382	16739
712	41437	16679
713	41493	16620
714	41565	16567
715	41618	16507
716	41674	16448
717	41730	16389
718	41791	16332
719	41847	16274
720	41907	16216
721	41966	16159
722	42021	16099
723	42080	16041
724	42140	15984
725	42196	15925
726	42250	15865
727	42305	15806
728	42360	15747
729	42419	15689
730	42480	15632
731	42537	15573
732	42593	15514
733	42651	15456
734	42711	15399
735	42773	15342
736	42827	15283
737	42884	15224
738	42937	15164
739	42997	15107
740	43050	15047
741	43107	14988
742	43162	14929
743	43224	14873
744	43281	14814
745	43342	14757
746	43397	14698
747	43451	14638
748	43508	14580
749	43566	14522
750	43620	14462
751	43673	14402
752	43727	14343
753	43786	14285
754	43843	14227
755	43899	14168
756	43953	14109
757	44011	14051
758	44069	13992
759	44124	13934
760	44179	13874
761	44240	13818
762	44294	13758
763	44350	13699
764	44402	13639
765	44457	13581
766	44516	13523
767	44570	13464
768	44626	13405
769	44686	13347
770	44749	13291
771	44806	13232
772	44861	13174
773	44924	13117
774	44981	13059
